Name,Address,Phone,Phone2
Racy Sanitarywares,"Dhuva Matel Road,At, Matel, Wankaner -",919825223131 / 97142 44954,-
Sonex Ceramic,"8/A - National Highway,P O Box No 303 (PPW) Lalpar, Morbi - 363 642",02822 - 240309 / 02822 -,9198256 10309
Sifon Sanitarywares,"Matel New Dhuva Road, Nr.Sandy Clay Product,At.Lakaddhar Tal.Wankaner, Dist.Rajkot, Lakaddhar - 363 621",919825398450 / 98255 51573,-
Uday Ceramics,"Amrapar, Thangadh - 363 530",02751 - 220880 / 02751 - 220480,919824298818 / 98242 80180
Simpolo Ceramics,"Old Ghuntu Road, Morbi - 363 642",02822 - 240930 / 02822 - 240802,9197254 70222
Synnova Ceramic Pvt. Ltd.,"Abhepar road,At.Abhepar, Thangadh - 363 530",919825303242 / 98252 05797,-
Aaru Sanitaryware,"Jetpar Road, Survey No.395,B/h Light City Ceramics, Rangpar(Morbi) -",9199789 99603,-
Anexy Sanitaryware,"Navagam Road,Navagam, Thangadh - 363 530",02751 - 222432 / 02751 -,9198985 21443
Sonet Ceramics,"Ghuntu Road, Morbi - 363 642",02822 - 240428 / 02822 -,9198252 32011
Soyo Ceramic Pvt. Ltd.,"Jetpar Road,Opp. Rangpar Village, Morbi -",99042 18899,-
Osaka Sanitary,"At.Lakaddhar, Nr.Vardhaman Vitrified,Matel Road, Dhuva ( Wankaner) - 363 621",02822 - 287545 / 02822 -,919825028561 / 98798 71103
Wideangle Sanitary Wares,"Morbi - Jetpar Road,Opp.Satyam Way Bridge,Near Gravity Ceramic, Morbi - 363 642",919825672127 / 90999 77398,-
Ashirwad Ceramics Pvt. Ltd.,"Navagam Road,Thangadh, Thangadh - 363 530",02751 - 220123 / 02751 -,9199798 52100
Oracle ceramic,"Than Chotila Road,At Jamvadi, Thangadh - 363 530",919638169071 / 96017 96535,-
Metro Cera,"Amrapar,Tal Chotila, Dist Surendranagar, Thangadh - 363 530",9197262 30231,-
Anchor Sanitarywares Pvt Ltd.,"Tarnetar Road, Thangadh - 363 530",02751 - 222146 / 02751 - 220592,9198252 18177
Anmol Sanitarywares Pvt. Ltd.,"241/1/2, B/h A- Plus Ceramic,Navagam Road, Thangadh - 363 530",99786 68002,-
A-PLUS Ceramic,"Navagam Road, B/H.,Chandan Ceramic, Navagam, Thangadh - 363 530",9662011033 / 96382 29254,-
Antrix Sanitarywares,"8-A National Highway,Matel Road,Near Amardham Temple,At Matel, Morbi -",99099 74745 / 97271 30425,-
Altra Ceramic,"Opp. Gugaliyana Bust Stop,Than-Chotila Road, At. Jamvadi, Thangadh - 363 530",9825215409 / 99256 49464,-
Sunray Cera,"Navagam Road,Navagam, Thangadh - 363 530",02751 - 220892 / 02751 -,9199252 22652
Vishva Sanitarywares,"8-A National Highway,At-Nava Jambudia,Near Win -tal Vitrified., Morbi - 363 642",919099600030 / 99782 94484,-
Pavan Ceramic,"Tarnetar Road,Amrapar, Thangadh - 363 530",02751 - 220093 / 02751 -,9198798 88188
Dynamic Ceramic,"Navagam Road , Navagam,dist.Suresndranagar., Thangadh - 363 530",919099021843 / 97127 33722,-
Delphi Ceramic,"8-A National Highway ,Lakhdhirpur Road, Morbi - 363 642",97278 74497,-